id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Astrocytes|Astrocytes	Astrocytes|Erythroid cells	Astrocytes|Interneurons	Astrocytes|Neuroblasts1	Astrocytes|Neuroblasts2	Astrocytes|Neurons1	Astrocytes|Neurons2	Astrocytes|Neurons3	Astrocytes|Platelets	Astrocytes|Pyramidal cells	Astrocytes|Unknown	Erythroid cells|Astrocytes	Erythroid cells|Erythroid cells	Erythroid cells|Interneurons	Erythroid cells|Neuroblasts1	Erythroid cells|Neuroblasts2	Erythroid cells|Neurons1	Erythroid cells|Neurons2	Erythroid cells|Neurons3	Erythroid cells|Platelets	Erythroid cells|Pyramidal cells	Erythroid cells|Unknown	Interneurons|Astrocytes	Interneurons|Erythroid cells	Interneurons|Interneurons	Interneurons|Neuroblasts1	Interneurons|Neuroblasts2	Interneurons|Neurons1	Interneurons|Neurons2	Interneurons|Neurons3	Interneurons|Platelets	Interneurons|Pyramidal cells	Interneurons|Unknown	Neuroblasts1|Astrocytes	Neuroblasts1|Erythroid cells	Neuroblasts1|Interneurons	Neuroblasts1|Neuroblasts1	Neuroblasts1|Neuroblasts2	Neuroblasts1|Neurons1	Neuroblasts1|Neurons2	Neuroblasts1|Neurons3	Neuroblasts1|Platelets	Neuroblasts1|Pyramidal cells	Neuroblasts1|Unknown	Neuroblasts2|Astrocytes	Neuroblasts2|Erythroid cells	Neuroblasts2|Interneurons	Neuroblasts2|Neuroblasts1	Neuroblasts2|Neuroblasts2	Neuroblasts2|Neurons1	Neuroblasts2|Neurons2	Neuroblasts2|Neurons3	Neuroblasts2|Platelets	Neuroblasts2|Pyramidal cells	Neuroblasts2|Unknown	Neurons1|Astrocytes	Neurons1|Erythroid cells	Neurons1|Interneurons	Neurons1|Neuroblasts1	Neurons1|Neuroblasts2	Neurons1|Neurons1	Neurons1|Neurons2	Neurons1|Neurons3	Neurons1|Platelets	Neurons1|Pyramidal cells	Neurons1|Unknown	Neurons2|Astrocytes	Neurons2|Erythroid cells	Neurons2|Interneurons	Neurons2|Neuroblasts1	Neurons2|Neuroblasts2	Neurons2|Neurons1	Neurons2|Neurons2	Neurons2|Neurons3	Neurons2|Platelets	Neurons2|Pyramidal cells	Neurons2|Unknown	Neurons3|Astrocytes	Neurons3|Erythroid cells	Neurons3|Interneurons	Neurons3|Neuroblasts1	Neurons3|Neuroblasts2	Neurons3|Neurons1	Neurons3|Neurons2	Neurons3|Neurons3	Neurons3|Platelets	Neurons3|Pyramidal cells	Neurons3|Unknown	Platelets|Astrocytes	Platelets|Erythroid cells	Platelets|Interneurons	Platelets|Neuroblasts1	Platelets|Neuroblasts2	Platelets|Neurons1	Platelets|Neurons2	Platelets|Neurons3	Platelets|Platelets	Platelets|Pyramidal cells	Platelets|Unknown	Pyramidal cells|Astrocytes	Pyramidal cells|Erythroid cells	Pyramidal cells|Interneurons	Pyramidal cells|Neuroblasts1	Pyramidal cells|Neuroblasts2	Pyramidal cells|Neurons1	Pyramidal cells|Neurons2	Pyramidal cells|Neurons3	Pyramidal cells|Platelets	Pyramidal cells|Pyramidal cells	Pyramidal cells|Unknown	Unknown|Astrocytes	Unknown|Erythroid cells	Unknown|Interneurons	Unknown|Neuroblasts1	Unknown|Neuroblasts2	Unknown|Neurons1	Unknown|Neurons2	Unknown|Neurons3	Unknown|Platelets	Unknown|Pyramidal cells	Unknown|Unknown
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.314	0.168	0.29	0.289	0.266	0.305	0.202	0.299	0.24	0.318	0.269	0.168	0.022	0.143	0.143	0.12	0.159	0.055	0.153	0.094	0.172	0.123	0.29	0.143	0.265	0.264	0.242	0.28	0.177	0.275	0.216	0.294	0.245	0.289	0.143	0.264	0.264	0.241	0.279	0.176	0.274	0.215	0.293	0.244	0.266	0.12	0.242	0.241	0.219	0.257	0.154	0.251	0.192	0.27	0.221	0.305	0.159	0.28	0.279	0.257	0.295	0.192	0.29	0.231	0.309	0.26	0.202	0.055	0.177	0.176	0.154	0.192	0.089	0.186	0.127	0.206	0.156	0.299	0.153	0.275	0.274	0.251	0.29	0.186	0.284	0.225	0.303	0.254	0.24	0.094	0.216	0.215	0.192	0.231	0.127	0.225	0.166	0.244	0.195	0.318	0.172	0.294	0.293	0.27	0.309	0.206	0.303	0.244	0.322	0.273	0.269	0.123	0.245	0.244	0.221	0.26	0.156	0.254	0.195	0.273	0.224
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.0	0.0	0.0	0.002	0.001	0.003	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.001	0.003	0.002	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.002	0.002	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.003	0.002	0.004	0.003	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.003	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.001	0.003	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.01	0.0	0.0	0.01	0.011	0.008	0.0	0.009	0.006	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.011	0.008	0.0	0.009	0.006	0.008	0.0	0.011	0.0	0.0	0.011	0.012	0.009	0.0	0.01	0.007	0.009	0.0	0.008	0.0	0.0	0.008	0.009	0.006	0.0	0.007	0.004	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.009	0.01	0.007	0.0	0.008	0.006	0.007	0.0	0.006	0.0	0.0	0.006	0.007	0.004	0.0	0.006	0.003	0.004	0.0	0.008	0.0	0.0	0.008	0.009	0.006	0.0	0.007	0.004	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.0	0.002	0.004	0.002	0.005	0.003	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.004	0.002	0.004	0.003	0.0	0.0	0.004	0.0	0.004	0.0	0.004	0.005	0.003	0.006	0.005	0.0	0.0	0.006	0.0	0.002	0.0	0.002	0.003	0.001	0.004	0.003	0.0	0.0	0.004	0.0	0.005	0.0	0.004	0.006	0.004	0.006	0.005	0.0	0.0	0.006	0.0	0.003	0.0	0.003	0.005	0.003	0.005	0.004	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.006	0.004	0.006	0.005	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.251	0.137	0.265	0.234	0.234	0.44	0.195	0.411	0.168	0.287	0.184	0.137	0.023	0.152	0.121	0.12	0.327	0.082	0.297	0.055	0.173	0.071	0.265	0.152	0.28	0.249	0.249	0.455	0.21	0.425	0.183	0.302	0.199	0.234	0.121	0.249	0.218	0.217	0.424	0.179	0.394	0.152	0.27	0.168	0.234	0.12	0.249	0.217	0.217	0.423	0.179	0.394	0.152	0.27	0.168	0.44	0.327	0.455	0.424	0.423	0.63	0.385	0.6	0.358	0.476	0.374	0.195	0.082	0.21	0.179	0.179	0.385	0.14	0.355	0.113	0.231	0.129	0.411	0.297	0.425	0.394	0.394	0.6	0.355	0.57	0.328	0.447	0.344	0.168	0.055	0.183	0.152	0.152	0.358	0.113	0.328	0.086	0.204	0.102	0.287	0.173	0.302	0.27	0.27	0.476	0.231	0.447	0.204	0.323	0.221	0.184	0.071	0.199	0.168	0.168	0.374	0.129	0.344	0.102	0.221	0.118
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.132	0.019	0.147	0.116	0.116	0.322	0.077	0.292	0.05	0.169	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.035	0.163	0.132	0.132	0.338	0.093	0.308	0.066	0.185	0.082	0.142	0.028	0.157	0.126	0.125	0.332	0.087	0.302	0.06	0.178	0.076	0.13	0.016	0.144	0.113	0.113	0.319	0.074	0.289	0.047	0.166	0.063	0.17	0.057	0.185	0.154	0.154	0.36	0.115	0.33	0.088	0.207	0.104	0.139	0.026	0.154	0.123	0.123	0.329	0.084	0.299	0.057	0.176	0.073	0.167	0.053	0.182	0.151	0.15	0.357	0.112	0.327	0.085	0.203	0.101	0.127	0.014	0.142	0.111	0.111	0.317	0.072	0.287	0.045	0.164	0.061	0.145	0.032	0.16	0.129	0.128	0.335	0.09	0.305	0.063	0.181	0.079	0.148	0.034	0.162	0.131	0.131	0.337	0.092	0.308	0.065	0.184	0.081
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.133	0.0	0.127	0.13	0.13	0.128	0.129	0.13	0.131	0.126	0.0	0.02	0.0	0.014	0.016	0.016	0.015	0.015	0.017	0.017	0.012	0.0	0.148	0.0	0.142	0.145	0.145	0.143	0.144	0.145	0.146	0.141	0.0	0.117	0.0	0.111	0.113	0.113	0.112	0.112	0.114	0.114	0.11	0.0	0.117	0.0	0.111	0.113	0.113	0.112	0.112	0.114	0.114	0.109	0.0	0.323	0.0	0.317	0.32	0.319	0.318	0.318	0.32	0.32	0.316	0.0	0.078	0.0	0.072	0.075	0.074	0.073	0.073	0.075	0.075	0.071	0.0	0.293	0.0	0.287	0.29	0.29	0.288	0.289	0.29	0.291	0.286	0.0	0.051	0.0	0.045	0.048	0.047	0.046	0.046	0.048	0.049	0.044	0.0	0.17	0.0	0.164	0.166	0.166	0.164	0.165	0.167	0.167	0.162	0.0	0.067	0.0	0.061	0.064	0.064	0.062	0.063	0.064	0.065	0.06	0.0
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	CADM3	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.015	0.0	0.009	0.012	0.012	0.01	0.011	0.012	0.013	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.025	0.028	0.028	0.026	0.027	0.028	0.029	0.024	0.0	0.025	0.0	0.019	0.021	0.021	0.02	0.02	0.022	0.022	0.018	0.0	0.012	0.0	0.006	0.009	0.009	0.007	0.008	0.009	0.01	0.005	0.0	0.053	0.0	0.047	0.05	0.05	0.048	0.049	0.05	0.051	0.046	0.0	0.022	0.0	0.016	0.019	0.019	0.017	0.018	0.019	0.02	0.015	0.0	0.05	0.0	0.044	0.046	0.046	0.045	0.045	0.047	0.047	0.043	0.0	0.01	0.0	0.004	0.007	0.007	0.005	0.006	0.007	0.008	0.003	0.0	0.028	0.0	0.022	0.025	0.024	0.023	0.023	0.025	0.025	0.021	0.0	0.031	0.0	0.025	0.027	0.027	0.025	0.026	0.028	0.028	0.023	0.0
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.011	0.0	0.005	0.007	0.007	0.005	0.006	0.008	0.008	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.006	0.009	0.008	0.007	0.007	0.009	0.009	0.005	0.0	0.009	0.0	0.003	0.005	0.005	0.004	0.004	0.006	0.006	0.002	0.0	0.013	0.0	0.007	0.01	0.009	0.008	0.008	0.01	0.01	0.006	0.0	0.012	0.0	0.006	0.009	0.008	0.007	0.007	0.009	0.009	0.005	0.0	0.013	0.0	0.007	0.009	0.009	0.008	0.008	0.01	0.01	0.006	0.0	0.012	0.0	0.006	0.008	0.008	0.006	0.007	0.009	0.009	0.004	0.0	0.009	0.0	0.003	0.006	0.005	0.004	0.004	0.006	0.006	0.002	0.0	0.011	0.0	0.005	0.008	0.008	0.006	0.007	0.008	0.009	0.004	0.0	0.012	0.0	0.006	0.009	0.009	0.007	0.008	0.009	0.01	0.005	0.0
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.053	0.0	0.144	0.085	0.074	0.114	0.049	0.096	0.035	0.123	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.16	0.101	0.09	0.13	0.065	0.112	0.051	0.139	0.141	0.063	0.0	0.154	0.094	0.083	0.123	0.058	0.105	0.044	0.132	0.135	0.05	0.0	0.141	0.082	0.071	0.111	0.046	0.093	0.032	0.12	0.122	0.091	0.0	0.182	0.123	0.112	0.152	0.087	0.134	0.073	0.161	0.163	0.06	0.0	0.151	0.091	0.081	0.121	0.056	0.102	0.042	0.129	0.132	0.088	0.0	0.179	0.119	0.108	0.148	0.083	0.13	0.069	0.157	0.16	0.048	0.0	0.139	0.079	0.068	0.108	0.044	0.09	0.03	0.117	0.12	0.066	0.0	0.157	0.097	0.086	0.126	0.062	0.108	0.047	0.135	0.138	0.068	0.0	0.159	0.1	0.089	0.129	0.064	0.111	0.05	0.138	0.14
