id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Astrocytes|Astrocytes	Astrocytes|Erythroid cells	Astrocytes|Interneurons	Astrocytes|Neuroblasts1	Astrocytes|Neuroblasts2	Astrocytes|Neurons1	Astrocytes|Neurons2	Astrocytes|Neurons3	Astrocytes|Platelets	Astrocytes|Pyramidal cells	Astrocytes|Unknown	Erythroid cells|Astrocytes	Erythroid cells|Erythroid cells	Erythroid cells|Interneurons	Erythroid cells|Neuroblasts1	Erythroid cells|Neuroblasts2	Erythroid cells|Neurons1	Erythroid cells|Neurons2	Erythroid cells|Neurons3	Erythroid cells|Platelets	Erythroid cells|Pyramidal cells	Erythroid cells|Unknown	Interneurons|Astrocytes	Interneurons|Erythroid cells	Interneurons|Interneurons	Interneurons|Neuroblasts1	Interneurons|Neuroblasts2	Interneurons|Neurons1	Interneurons|Neurons2	Interneurons|Neurons3	Interneurons|Platelets	Interneurons|Pyramidal cells	Interneurons|Unknown	Neuroblasts1|Astrocytes	Neuroblasts1|Erythroid cells	Neuroblasts1|Interneurons	Neuroblasts1|Neuroblasts1	Neuroblasts1|Neuroblasts2	Neuroblasts1|Neurons1	Neuroblasts1|Neurons2	Neuroblasts1|Neurons3	Neuroblasts1|Platelets	Neuroblasts1|Pyramidal cells	Neuroblasts1|Unknown	Neuroblasts2|Astrocytes	Neuroblasts2|Erythroid cells	Neuroblasts2|Interneurons	Neuroblasts2|Neuroblasts1	Neuroblasts2|Neuroblasts2	Neuroblasts2|Neurons1	Neuroblasts2|Neurons2	Neuroblasts2|Neurons3	Neuroblasts2|Platelets	Neuroblasts2|Pyramidal cells	Neuroblasts2|Unknown	Neurons1|Astrocytes	Neurons1|Erythroid cells	Neurons1|Interneurons	Neurons1|Neuroblasts1	Neurons1|Neuroblasts2	Neurons1|Neurons1	Neurons1|Neurons2	Neurons1|Neurons3	Neurons1|Platelets	Neurons1|Pyramidal cells	Neurons1|Unknown	Neurons2|Astrocytes	Neurons2|Erythroid cells	Neurons2|Interneurons	Neurons2|Neuroblasts1	Neurons2|Neuroblasts2	Neurons2|Neurons1	Neurons2|Neurons2	Neurons2|Neurons3	Neurons2|Platelets	Neurons2|Pyramidal cells	Neurons2|Unknown	Neurons3|Astrocytes	Neurons3|Erythroid cells	Neurons3|Interneurons	Neurons3|Neuroblasts1	Neurons3|Neuroblasts2	Neurons3|Neurons1	Neurons3|Neurons2	Neurons3|Neurons3	Neurons3|Platelets	Neurons3|Pyramidal cells	Neurons3|Unknown	Platelets|Astrocytes	Platelets|Erythroid cells	Platelets|Interneurons	Platelets|Neuroblasts1	Platelets|Neuroblasts2	Platelets|Neurons1	Platelets|Neurons2	Platelets|Neurons3	Platelets|Platelets	Platelets|Pyramidal cells	Platelets|Unknown	Pyramidal cells|Astrocytes	Pyramidal cells|Erythroid cells	Pyramidal cells|Interneurons	Pyramidal cells|Neuroblasts1	Pyramidal cells|Neuroblasts2	Pyramidal cells|Neurons1	Pyramidal cells|Neurons2	Pyramidal cells|Neurons3	Pyramidal cells|Platelets	Pyramidal cells|Pyramidal cells	Pyramidal cells|Unknown	Unknown|Astrocytes	Unknown|Erythroid cells	Unknown|Interneurons	Unknown|Neuroblasts1	Unknown|Neuroblasts2	Unknown|Neurons1	Unknown|Neurons2	Unknown|Neurons3	Unknown|Platelets	Unknown|Pyramidal cells	Unknown|Unknown
CPI-SS0DBA22B92	CHL1_CHL1	simple:O00533	simple:O00533	CHL1	CHL1	True	False	False	curated	False	Adhesion-Adhesion		0.008																																																																																																																									0.105
CPI-SC033AB13AE	IGF1_IGF1R_enhancerComGPC3	simple:P05019	complex:IGF1R_enhancerComGPC3	IGF1		True	False	True	curated	False	Ligand-Receptor	Signaling by Insulin-like growth factor	0.008																																																																																																	0.081																								
CPI-CS0EB60A2B2	Glutamate_byGLS_and_SLC1A3_GRIK3	complex:Glutamate_byGLS_and_SLC1A3	simple:Q13003		GRIK3	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.008																																																																																											0.075																														
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.008																																																																																																	0.296																								
CPI-SS0DF830287	APLP2_PLXNA4	simple:Q06481	simple:Q9HCM2	APLP2	PLXNA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-like protein	0.008																																																																																																		0.119																							
CPI-SS0146C75AD	WNT3_WIF1	simple:P56703	simple:Q9Y5W5	WNT3	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.008																																																																																																																						0.099			
CPI-SS0E9BE6A4E	WNT3_SFRP2	simple:P56703	simple:Q96HF1	WNT3	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.008																																																																																																															0.095										
CPI-CS0FC6DD1EA	Glutamate_byGLS_and_SLC1A3_GRIA1	complex:Glutamate_byGLS_and_SLC1A3	simple:P42261		GRIA1	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.017																																																																																											0.11			0.085																											
CPI-SS0BFD8E056	EFNB2_EPHB1	simple:P52799	simple:P54762	EFNB2	EPHB1	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.017						0.077																																																																																																			0.123																
CPI-SS0D5DBB634	EFNA3_EPHA7	simple:P52797	simple:Q15375	EFNA3	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.017																																																																0.082																																												0.106													
CPI-SS0A5AFF451	CHL1_L1CAM	simple:O00533	simple:P32004	CHL1	L1CAM	True	False	False	curated	False	Adhesion-Adhesion		0.025																																																																																																																				0.085		0.102		0.085	
CPI-SS028688B7B	EFNA5_EPHA7	simple:P52803	simple:Q15375	EFNA5	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.025																																																																0.092																						0.094																																	0.092		
CPI-SS03C7D1520	EFNB1_EPHB1	simple:P98172	simple:P54762	EFNB1	EPHB1	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.025						0.217																																	0.201											0.168																																																																							
CPI-CS0E765613E	Glutamate_byGLS_and_SLC1A3_GRIA2	complex:Glutamate_byGLS_and_SLC1A3	simple:P42262		GRIA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.025																																																																																														0.235		0.206		0.311																							
CPI-SC08F771F98	SEMA6A_PlexinA2_complex1	simple:Q9H2E6	complex:PlexinA2_complex1	SEMA6A		False	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.025																																																																																												0.087	0.07					0.108																							
