"dataset_id","title","species","tissues","organ_parts","cell_types","cells","spots","genes","development_stages","sex","stomics_technologies","sample_number","sections_number","disease","browser","summary","overall_design","submission_date","last_modified","contributors","contacts","citation","accessions","platforms","pmid","dataset_quality"
"STDS0000236","A spatial transcriptome map of developing maize ear","","Ear","","","0","53911","29314","","","Stereo-Seq;scRNA","4","4","","","
In this study, we used spatial enhanced resolution omics-sequencing (Stereo-seq) to construct a precise spatial transcriptome map of developing maize ear primordia.","Maize 6mm ear were fresh frozen and sectioned at 10um thickness onto spatial transcriptomics (ST) slides for mRNA capture, followed by library preparation and sequencing","2023-11-02 00:00:00","2023-11-02 00:00:00","Yuebin Wang1,2*, Yun Luo1,2*, Xing Guo3*, Yunfu Li1,2*, Jiali Yan1,2*, Wenwen Shao3, Wenjie Wei1, Da","ningy@mail.hzau.edu.cn","","https://db.cngb.org/search/project/CNP0004249/","BGISEQ-1000","","4"
"STDS0000235","Spatial transcriptomics map of the embryonic mouse brain – a tool to explore neurogenesis","","Brain","","","0","19968","32285","E13.5","F | M","10x Visium","4","4","","","The developing brain has a complex and well-organized anatomical structure comprising different types of neural and non-neural cells. Stem cells, progenitors, and newborn neurons tightly interact with their neighbouring cells and tissue microenvironment, and this intricate interplay ultimately shapes the output of neurogenesis. Given the relevance of spatial cues during brain development, we acknowledge the necessity for a transcriptomics atlas within the tissue context accessible to the neurodevelopmental community. To fulfil this need, we offer an open-access spatial gene expression browser of the embryonic mouse brain at the peak of neurogenesis. Using 10x Visium technology, we generated spatially-resolved RNAseq data from E13.5 embryonic brain sections. Unsupervised clustering reliably defined specific cell type populations of diverse lineages and maturational states. Differential expression analysis revealed unique transcriptional signatures across specific embryonic brain areas, uncovering novel features inherent to particular anatomical domains. Furthermore, we integrated single-cell RNAseq data from E13.5 mouse brains into our Spatial Transcriptomics data, adding tissue context to single-cell resolution. In summary, we provide a valuable tool that enables the exploration and discovery of unforeseen molecular players involved in neurogenesis, particularly in the crosstalk between different cell types.","Four sections from four different WT mouse embryonic heads (stage E13.5) were extracted for spatial transcriptomics using the 10x Genomics Visium platform in order to identify areas of the embryonic brain with different cell lineages and maturation states at the peak of neurogenesis.","2023-08-11 00:00:00","2023-10-13 00:00:00","Di Marco B;Vázquez-Marín J;Monyer H;Centanin L;Alfonso J","jvazmar89@gmail.com;javier.vazquez@cos.uni-heidelberg.de","Di Marco, Barbara et al. “Spatial transcriptomics map of the embryonic mouse brain - a tool to explore neurogenesis.” Biology open vol. 12,10 (2023): bio060151. doi:10.1242/bio.060151","https://db.cngb.org/stomics/project/STT0000051","GPL24247","37855382","5"
"STDS0000234","SAW: An efficient and accurate data analysis workflow for Stereo-seq spatial transcriptomics","","Brain","","","0","2343","24302","Puberscent","Male","Stereo-Seq","1","1","","","The basic analysis steps of spatial transcriptomics involves obtaining gene expression information from both space and cells. This process requires a set of tools to be completed, and existing tools face performance issues when dealing with large data sets. These issues include computationally intensive spatial localization, RNA genome alignment, and excessive memory usage in large chip scenarios. These problems affect the applicability and efficiency of the process. To address these issues, a high-performance and accurate spatial transcriptomics data analysis workflow called Stereo-Seq Analysis Workflow (SAW) has been developed for the Stereo-Seq technology developed by BGI. This workflow includes mRNA spatial position reconstruction, genome alignment, gene expression matrix generation and clustering, and generate results files in a universal format for subsequent personalized analysis. The excutation time for the entire analysis process is ~148 minutes on 1G reads 1*1 cm chip test data, 1.8 times faster than unoptimized workflow.","","2023-06-10 00:00:00","2023-09-07 00:00:00","Chun Gong;Shengkang Li;Leying Wang;Fuxiang Zhao;Shuangsang Fang;Dong Yuan;Zijian Zhao;Qiqi He;Mei Li;Weiqing Liu;Zhaoxun Li;Hongqing Xie;Sha Liao;Ao Chen;Yong Zhang;Yuxiang Li;Xun Xu","gongchun@mgi-tech.com","","","DNBSEQ-T10","","4"
"STDS0000212","Spatial transcriptomics combined with single-cell RNA-sequencing unravels the complex inflammatory cell network in atopic dermatitis [ST]","Homo sapiens","Skin","Atopic dermatitis lesional skin;Atopic dermatitis non-lesional skin;Skin","","0","0","0","","","10x Visium","20","20","Atopic dermatitis | Healthy","","Atopic dermatitis (AD) is the most common chronic inflammatory skin disease with complex pathogenesis. Using spatial and single-cell transcriptomics of whole skin biopsy and suction blister material, we investigated the cellular and molecular features of the leukocyte-infiltrated area in AD. We identified unique clusters of fibroblasts, dendritic cells, macrophages, and T cells in the lesional AD skin and molecular interactions between these cells. The leukocyte-infiltrated areas in lesional AD skin showed upregulation of COL6A5, COL4A1, TNC, IL32, CCL19 in COL18A1-expressing fibroblasts. Additionally, M2 macrophages expressed CCL13 and CCL18 in the same localization. Ligand–receptor interaction analysis of the spatial transcriptome identified a neighboring infiltration and interaction between activated COL18A1-expressing fibroblasts, activated CCL13- and CCL18-expressing M2 macrophages, CCR7- and LAMP3-expressing DCs, and T cells. As observed in skin lesions, serum levels of TNC and CCL18 were significantly elevated in AD and correlated with clinical disease severity.","Spatial Transcriptomics (Visium Spatial Gene Expression; 10X Genomics) of human skin biopsy samples. 14 skin biopsy samples were collected from 7 atopic dermatitis patients, 1 from lesional and 1 from non-lesional skin per patient. In addition, 6 skin biopsy samples were collected from 6 healthy donors to serve as a control.","2022-02-18 00:00:00","2023-08-11 00:00:00","Mitamura, Yasutaka;Reiger, Matthias;Kim, Juno;Xiao, Yi;Zhakparov, Damir;Tan, Ge;Rinaldi, Arturo O;Baerenfaller, Katja;Akdis, Mübeccel;Brüggen, Marie-Charlotte;Brunner, Patrick M;Roqueiro, Damian;Traidl-Hoffmann, Claudia;Akdis, Cezmi A","","Mitamura, Yasutaka et al. “Spatial transcriptomics combined with single-cell RNA-sequencing unravels the complex inflammatory cell network in atopic dermatitis.” Allergy vol. 78,8 (2023): 2215-2231. doi:10.1111/all.15781","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197023","Illumina NovaSeq 6000","37312623","5"
"STDS0000224","Spatial transcriptomics: The effect of consecutive slices data integration on accurate cell type annotation and clustering","Homo sapiens","Brain","","","0","0","0","","","10x Visium","8","8","","","In 10X Genomics Visium Spatial Gene Expression (ST), the resolution for distinguishing neighboring cells can be improved using data integration with single-cell/single-nuclei transcriptomics profiles. Besides, depending on the cell type and tissue, nuclei size may vary significantly to an extent that it may exceed the thickness of tissue slices. This may jeopardize capturing full transcriptomics profile of single slice due to the improper/incomplete incision of nuclei during cryosectioning process and this may cause drawbacks in downstream analysis.   To monitor the probable consequences, we monitored the effect of consecutive slices data integration (CSDI) on improvement of cell type clustering and annotation through transferring cell labels from a single-nuclei transcriptomics dataset to ST. To do so, two consecutive slices from the orbitofrontal neocortex and temporal neocortex of two post mortem brain samples were obtained and their spatial transcriptomics profiles were retrieved using 10x Genomics Visium Spatial Gene Expression protocol.     Using CSDI, not only the number of identified clusters were increased and the inconsistency between the pattern of clusters in consecutive slices was resolved, but the layered-structure of gray matter was unveiled. Besides, only after CSDI the transferred annotations from single-nuclei transcriptomics to ST could match the microscopic results.  CSDI can improve the ST clustering and cell type annotation by providing the full signals coming from all cell types of single slice of tissue. The codes in R programming language are publicly available at https://github.com/ElyasMo/ST_snRNA-seq","Four pairs of consecutive slices from Orbitofrontal and Temporal neocortex of post mortem brain samples","2021-09-21 00:00:00","2023-08-10 00:00:00","Mieczkowski, Jakub;Mohammadi, Elyas;Chojnowska, Katarzyna;Bieńkowski, Michał;Kostecka, Anna;Magdalena, Koczkowska;Michał, Żmijewski;Marcin, Jąkalski;Martin, Inglesson;Bradley, Hyman;Natalia,  Filipowicz;Paweł, Olszewski;Hanna, Davies;Justyna, Wierzbicka;Dumanski, Jan;Piotrowski, Arkadiusz","","Mohammadi, Elyas et al. “Size matters: the impact of nucleus size on results from spatial transcriptomics.” Journal of translational medicine vol. 21,1 270. 21 Apr. 2023, doi:10.1186/s12967-023-04129-z","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184510","Illumina HiSeq 2000","37081484","5"
"STDS0000214","Probing pathways by which rhynchophylline modifies sleep using spatial transcriptomics (additional files)","Mus musculus","Brain","","","0","0","0","","Female","10x Visium","2","2","","","Here, we investigated the effects of Rhynchophylline (RHY) on the mouse brain spatial transcriptome. More precisely, we injected male and female mice intraperitoneally with either saline (NaCl) or RHY, either at Zeitgeber time (ZT referring to time in hour after light onset) 0 or ZT0 and ZT11. Brains were sampled at ZT4 or ZT14, respectively, and immediately frozen embedded in OCT. Brains were treated and libraries were prepared according to 10x Genomics protocols for Visium Spatial Gene Expression. Sequencing was conducted by Genome Quebec (Montreal, Quebec, Canada). Findings reveal molecular routes by which RHY acts on the brain in a sleep-relevant context. Please cite the original paper when using these data (Ballester Roig et al., Biol Direct, 2023) and see also the submission GSE217058.","Brain transcriptome measured 3 to 4 hours after one or two intraperitoneal injection of Rhynchophylline (RHY, 100 mg/kg) conducted at two different times of the day (ZT0 or ZT0 and ZT11) in male and female C57BL/6J mice that were kept under a 12 h light:12 h dark cycle. The same measurements were conducted in mice receiving saline (acting as controls). The total number of samples for this project is thus 8 (one female receiving RHY at ZT0, one female receiving saline at ZT0, one female receiving RHY at ZT0 and ZT11, one female receiving saline at ZT0 and ZT11, one male receiving RHY at ZT0, one male receiving saline at ZT0, one male receiving RHY at ZT0 and ZT11, one male receiving saline at ZT0 and ZT11). The brain transcriptome was quantified with the Visium Spatial Gene Expression Slide & Reagent Kit (10x Genomics). Original fastq files and processed files were uploaded at GSE217058. However, raw fastq files for two samples were damaged during file storage and are missing (i.e., female receiving RHY at ZT0 and female receiving saline at ZT0 and ZT11). Here we provide the BAM files of these two samples (ZT4_F_RHY and ZT14_F_Saline) which were created with the pipeline ''spaceranger count'' with the original uncorrupted fastq files. These BAM files can be used to reconstitute the corresponding fastq files using the bamtofastq tool.","2022-11-22 00:00:00","2023-08-08 00:00:00","Mongrain, Valerie;Ballester Roig, Maria Neus;Dufort-Gervais, Julien","","Ballester Roig, Maria Neus et al. “Probing pathways by which rhynchophylline modifies sleep using spatial transcriptomics.” Biology direct vol. 18,1 21. 5 May. 2023, doi:10.1186/s13062-023-00377-7","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218537","Illumina NovaSeq 6000","37143153","5"
"STDS0000218","Probing pathways by which rhynchophylline modifies sleep using spatial transcriptomics","Mus musculus","Brain","","","0","0","0","","F/M","10x Visium","8","8","","","Here, we investigated the effects of Rhynchophylline (RHY) on the mouse brain spatial transcriptome. More precisely, we injected male and female mice intraperitoneally with either saline (NaCl) or RHY, either at Zeitgeber time (ZT referring to time in hour after light onset) 0 or at ZT0 and ZT11. Brains were sampled at ZT4 or ZT14, respectively, and immediately frozen embedded in OCT. Brains were treated and libraries were prepared according to 10x Genomics protocols for Visium Spatial Gene Expression. Sequencing was conducted by Genome Quebec (Montreal, Quebec, Canada). Findings reveal molecular routes by which RHY acts on the brain in a sleep-relevant context. Please cite the original paper when using these data (Ballester Roig et al., Biol Direct, 2023).","Brain transcriptiome measured 3 to 4 hours after one or two intraperitoneal injection of Rhynchophylline (RHY, 100 mg/kg) conducted at two different times of the day (ZT0 or ZT0 and ZT11) in male and female C57BL/6J mice that were kept under a 12 h light:12 h dark cycle. The same measurements were conducted in mice receiving saline (acting as controls). The total number of samples for this project is thus 8 (one female receiving RHY at ZT0, one female receiving saline at ZT0, one female receiving RHY at ZT0 and ZT11, one female receiving saline at ZT0 and ZT11, one male receiving RHY at ZT0, one male receiving saline at ZT0, one male receiving RHY at ZT0 and ZT11, one male receiving saline at ZT0 and ZT11). The brain transcriptome was quantified with the Visium Spatial Gene Expression Slide & Reagent Kit (10x Genomics).
***Please note that raw fastq files for two samples have been damaged during file storage and thus are not provided (female receiving RHY at ZT0 and female receiving saline at ZT0 and ZT11). BAM files of these two samples are provided in GSE218537.***","2022-11-01 00:00:00","2023-08-08 00:00:00","Mongrain, Valerie;Ballester Roig, Maria Neus;Dufort-Gervais, Julien","","Ballester Roig, Maria Neus et al. “Probing pathways by which rhynchophylline modifies sleep using spatial transcriptomics.” Biology direct vol. 18,1 21. 5 May. 2023, doi:10.1186/s13062-023-00377-7","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217058","Illumina NovaSeq 6000","37143153","5"
"STDS0000225","Spatially resolved multi-omics single-cell analyses inform mechanisms of immune-dysfunction in pancreatic cancer","Homo sapiens","Pancreas","","","0","0","0","","","10x Visium","8","8","","","As pancreatic ductal adenocarcinoma (PDAC) continues to be recalcitrant to therapeutic interventions including poor response to immunotherapy, albeit effective in other solid malignancies, a more nuanced understanding of the immune microenvironment in PDAC is urgently needed. Using a spatially-resolved multimodal single cell approach we unveil a detailed view of the immune micromilieu in PDAC with specific emphasis on the correlation of immune subtypes with patient survival. We substantiate the exhausted phenotype of CD8 T cells and immunosuppressive features of myeloid cells, and highlight immune subpopulations with potentially underappreciated roles in PDAC, particularly CD4 T cell subsets presenting immunosuppressive phenotypes with varying modes of exhaustion. We also demonstrate the dynamic changes associated with transcriptional reprogramming of immune subtypes within adjacent normal tissue and tumor surrounding stroma, and further reveal striking differences between immune phenotypes in PDAC and lung adenocarcinoma, which at least partially explain their differential responsiveness to current immunotherapies and might have implications for the development of novel treatment strategies.","Eight tissue sections were subjected to spatial transcriptomic analysis by using the Visium technology(30) (10x Genomics) according to the protocol of the manufacturer. Briefly, tissue slices approximately 10um in size were cut from fresh frozen OCT embedded tissue sections and placed on the Visium slide. The tissue sections were lysed in situ on the slide, mRNA was released which was captured by the oligonucleotides attached to the slide. Double stranded cDNA was prepared and finally eluted out from the slide into a tube. cDNA was amplified, cleaned and a dual indexed library was prepared. The library was sequenced at the DKFZ sequencing core facility using a NextSeq platform. Cell types in different regions of the tissue sections were annotated by pathologists and the annotation was transferred to the spatial transcriptomic experiments in the array of spots.","2022-06-02 00:00:00","2023-07-30 00:00:00","QIU, MENGJIE;Yousuf, Suhail;von Voithenberg, Lena V;Imbusch, Charles D;Roth, Susanne","","Yousuf, Suhail et al. “Spatially Resolved Multi-Omics Single-Cell Analyses Inform Mechanisms of Immune Dysfunction in Pancreatic Cancer.” Gastroenterology, S0016-5085(23)00810-7. 30 May. 2023, doi:10.1053/j.gastro.2023.05.036","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205354","NextSeq 550","37263303","2"
"STDS0000228","Spatial transcriptomics of murine bone marrow megakaryocytes at single-cell resolution","Mus musculus","Bone","Femur","","0","0","0","3 months;18 months","","GeoMx DSP","83","0","","","Megakaryocytes are bone marrow (BM) resident cells that derive from hematopoietic stem cells. A pivotal function of megakaryocytes is the generation of platelets through the release of long protrusions called proplatelets into sinusoidal vessels. single-cell RNA-sequencing on murine BM megakaryocytes has previously revealed transcriptional heterogeneity with segmentation into four distinct categories. These studies postulated functions beyond platelet production with evidence for immunoregulatory and stem cell niche supporting subtypes, as well as a cycling population. The spatial context and transcriptional heterogeneity of megakaryocytes is of great interest as localization of for instance the vasculature is a necessity for platelet production. For single-cell RNA sequencing this spatial orientation is however lost due to the dissociation of tissues. Recent technological advances have enabled the interrogation of gene expression profiles of tissues in situ. This enables the integration of morphological, situational and transcriptional information to classify cells in the context of their microenvironment. In the following we present, for the first time, the application of this technology to BM megakaryocytes at a single cell level.","The femur of a healthy 3 and 18 month old mice was collected and parafin sections were prepared. Using the Nanostring GeoMx spatial transcritomics platform individual megakaryocytes (guided by CD41 IF staining) were selected as regions of interest and their transcriptome was determined using the murine whole transcriptome atlas.","2023-02-08 00:00:00","2023-07-27 00:00:00","Billingsley, James M.;Stone, Andrew P;Tilburg, Julia;Scoville, David;Italiano, Joseph E;Billingsley, James M;Machlus, Kellie R","","Tilburg, Julia et al. “Spatial transcriptomics of murine bone marrow megakaryocytes at single-cell resolution.” Research and practice in thrombosis and haemostasis vol. 7,4 100158. 20 Apr. 2023, doi:10.1016/j.rpth.2023.100158","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224838","Illumina NovaSeq 6000","37255850","2"
"STDS0000217","Spatiotemporal multi-omics decoding of the developing human spinal cord","Homo sapiens","Spinal cord","","","0","0","0","","","10x Visium","55","55","","","This SuperSeries is composed of the SubSeries listed below.","Refer to individual Series

Authors state ""However, raw reads from our cohort are considered sensitive and protected by GDPR regulations, and will therefore be uploaded to Swedish federated EGA.""","2022-11-30 00:00:00","2023-07-27 00:00:00","Czarnewski, Paulo","","Li, Xiaofei et al. “Profiling spatiotemporal gene expression of the developing human spinal cord and implications for ependymoma origin.” Nature neuroscience vol. 26,5 (2023): 891-901. doi:10.1038/s41593-023-01312-9","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219122","Illumina NovaSeq 6000","37095395","5"
